Date,FertilityRate
1960,1.63087449288958
1961,1.60688908688843
1962,1.58430864789372
1963,1.55753194021187
1964,1.5242206252397
1965,1.48954366582454
1966,1.44953531449177
1967,1.42052562375494
1968,1.42479224253986
1969,1.47102766080722
1970,1.54302501467091
1971,1.62761182327331
1972,1.69491417053958
1973,1.72192469006724
1974,1.69542343566761
1975,1.63398298162344
1976,1.56129849567931
1977,1.50469563987379
1978,1.47418928153779
1979,1.48028962850457
1980,1.51051738427066
1981,1.54453830028702
1982,1.56639889007467
1983,1.57663163496523
1984,1.57025865439595
1985,1.5516193505462
1986,1.52979763422065
1987,1.50919864197743
1988,1.48617821844449
1989,1.46131459766164
1990,1.43456631637287
1991,1.40825522236911
1992,1.37994537864111
1993,1.34513595251162
1994,1.30249199432262
1995,1.25574794581047
1996,1.20677752534703
1997,1.16286439413058
1998,1.13110561073729
1999,1.11533576882666
2000,1.11087530478963
2001,1.11114190917829
2002,1.10897136014271
2003,1.10241509004075
2004,1.08860752551001
2005,1.07043427835843
2006,1.05052809627787
2007,1.03443291949168
2008,1.02589971759083
2009,1.02737729041769
2010,1.0350371425283
2011,1.04485986238761
2012,1.05037622160469
2013,1.04727674680202
2014,1.03270928221435
2015,1.00985496040526
2020,1.13777696
2025,1.05517782
2015,1.00985496040526
2016,0.9896989573797355
2017,0.9743280769751312
2018,0.9674016416241278
2019,0.9699733761146976
2020,0.9797848634582588
2021,0.9925055750084232
2022,1.003478228478177
2023,1.0093147760858678
2024,1.0088347245241631
2025,1.003131167074903
2015,1.00985496040526
2016,1.00233531
2017,1.02130163
2018,1.02655625
2019,1.03060508
2020,1.03326571
2021,1.03518879
2022,1.03656447
2023,1.03756082
2024,1.0382843
2025,1.03881121
