Date,FertilityRate
1960,1.30368717716863
1961,1.39849453999345
1962,1.4904991654424
1963,1.58405771329642
1964,1.680970726245
1965,1.77805168331583
1966,1.87428045434377
1967,1.96216109848393
1968,2.03676477759234
1969,2.09395712342099
1970,2.1405984546928
1971,2.18154210425557
1972,2.22578800349646
1973,2.27735177539947
1974,2.34056016683039
1975,2.41009951789394
1976,2.48058115330403
1977,2.54462738206331
1978,2.60167314826596
1979,2.64876463204302
1980,2.68945203714843
1981,2.73226489430206
1982,2.77736473402571
1983,2.81744908802337
1984,2.85180501764056
1985,2.88525962953107
1986,2.90253932072273
1987,2.92549674603878
1988,2.98865166431779
1989,3.10076556455627
1990,3.23505898317491
1991,3.37715909992662
1992,3.4790026507141
1993,3.50077384575132
1994,3.42606116377536
1995,3.29361363820142
1996,3.14532391063504
1997,3.02837532091409
1998,2.95861322529726
1999,2.95175446957883
2000,2.98399477560651
2001,3.0237802136321
2002,3.04308295807465
2003,3.03967483180195
2004,3.00534210642385
2005,2.95238351590553
2006,2.89753275283891
2007,2.85407407622991
2008,2.82352171141544
2009,2.80933688387249
2010,2.80610884361564
2011,2.80342201500857
2012,2.79704040529129
2013,2.79025324304921
2014,2.78228712901218
2015,2.77297792645726
2020,2.59077156
2025,2.362297
2015,2.77297792645726
2016,2.7637959976824673
2017,2.7567838829908533
2018,2.7511031405735604
2019,2.746732211744927
2020,2.7421196715278926
2021,2.73734835992689
2022,2.7316919945352813
2023,2.725879602398355
2024,2.719685487658002
2025,2.713815760715133
2015,2.77297792645726
2016,2.66815591
2017,2.6848917
2018,2.71135998
2019,2.73473549
2020,2.74800539
2021,2.75526571
2022,2.75965476
2023,2.76249409
2024,2.7643559
2025,2.76557732
