Date,FertilityRate
1960,2.96030495263815
1961,2.93451766643696
1962,2.91157597949563
1963,2.89787367621596
1964,2.89596210369477
1965,2.89962582798881
1966,2.9029439289665
1967,2.89895373231483
1968,2.8841336352791
1969,2.85618722019854
1970,2.81926699502673
1971,2.78362499288089
1972,2.74861790790717
1973,2.70582152240887
1974,2.6538994760746
1975,2.5984039228482
1976,2.53963985200738
1977,2.48879826271298
1978,2.4584757123601
1979,2.45366118998191
1980,2.46459840472643
1981,2.48188546059456
1982,2.49106428182624
1983,2.48560575588894
1984,2.45978999607644
1985,2.42182837751888
1986,2.38092666354371
1987,2.34824446618265
1988,2.32787870802043
1989,2.32380137815992
1990,2.32995973546316
1991,2.34134585368348
1992,2.34771290543368
1993,2.34290999194585
1994,2.32326224589059
1995,2.29536782649617
1996,2.26258197135393
1997,2.23801068851864
1998,2.23310212861958
1999,2.25315099351516
2000,2.28797737855515
2001,2.32625536601766
2002,2.35284263148622
2003,2.36059487999977
2004,2.34380241125463
2005,2.31040704342986
2006,2.27224203193156
2007,2.23853100853033
2008,2.20952320211718
2009,2.18803814465705
2010,2.1710395705368
2011,2.15362718283611
2012,2.13202825156564
2013,2.10689204475385
2014,2.07715182146065
2015,2.04426638203996
2020,1.63795225
2025,1.38656657
2015,2.04426638203996
2016,2.0106477606326147
2017,1.9807837423703631
2018,1.9575151973568543
2019,1.9407109355810308
2020,1.9287589714113877
2021,1.9193002233476932
2022,1.9099603375917498
2023,1.898908869641846
2024,1.885156567989527
2025,1.8685842695176225
2015,2.04426638203996
2016,2.07184744
2017,2.07594371
2018,2.07637119
2019,2.0756855
2020,2.07501912
2021,2.07453227
2022,2.07419515
2023,2.07396364
2024,2.07380533
2025,2.07369685
