Date,FertilityRate
1960,6.095
1961,5.929
1962,5.738
1963,5.533
1964,5.325
1965,5.125
1966,4.941
1967,4.772
1968,4.617
1969,4.474
1970,4.53
1971,4.54
1972,4.12
1973,4.07
1974,3.77
1975,3.43
1976,3
1977,2.99
1978,2.64
1979,2.9
1980,2.82
1981,2.57
1982,2.39
1983,2.06
1984,1.74
1985,1.66
1986,1.58
1987,1.53
1988,1.55
1989,1.56
1990,1.57
1991,1.71
1992,1.76
1993,1.654
1994,1.656
1995,1.634
1996,1.574
1997,1.52
1998,1.448
1999,1.41
2000,1.467
2001,1.297
2002,1.166
2003,1.18
2004,1.154
2005,1.076
2006,1.123
2007,1.25
2008,1.192
2009,1.149
2010,1.226
2011,1.244
2012,1.297
2013,1.187
2014,1.205
2015,1.239
2020, 5
2025,5
