Date,FertilityRate
1960,1.97590346401767
1961,2.02876635201603
1962,2.07594472769336
1963,2.11051674340815
1964,2.12949560155621
1965,2.13965211882383
1966,2.15144633247864
1967,2.1717419058254
1968,2.19974493670707
1969,2.23762181590071
1970,2.28498885698866
1971,2.31975324066389
1972,2.35854118125254
1973,2.43809835599337
1974,2.56718772468048
1975,2.71916313808534
1976,2.88147442005468
1977,3.00467400141869
1978,3.04434149433275
1979,2.9824044837614
1980,2.85750229379562
1981,2.71506341629255
1982,2.60267579330492
1983,2.53541177606772
1984,2.52928716273128
1985,2.56273208154271
1986,2.60320259262434
1987,2.62563875001607
1988,2.63093067527225
1989,2.61241488994348
1990,2.57903723361845
1991,2.54561098157603
1992,2.5212415522814
1993,2.50297104637536
1994,2.4929956393516
1995,2.48943469406083
1996,2.488365242382
1997,2.48818296470291
1998,2.49072441544799
1999,2.4958130339958
2000,2.50339743975096
2001,2.51121437075988
2002,2.52110640165057
2003,2.53684000164677
2004,2.55923925783274
2005,2.58522180612352
2006,2.6103910760618
2007,2.6316539918861
2008,2.64896708696089
2009,2.66122133492306
2010,2.6687468571641
2011,2.67475496243975
2012,2.67765922167605
2013,2.67291860643002
2014,2.65955070115917
2015,2.64035713540557
2020,2.55566226
2025,2.39999217
2015,2.64035713540557
2016,2.620458939791075
2017,2.604772155729972
2018,2.5962223566704474
2019,2.595087782378556
2020,2.599408315227573
2021,2.606067459975698
2022,2.6120277467283874
2023,2.6152718873352407
2024,2.6152035965917184
2025,2.6124974429947727
2015,2.64035713540557
2016,2.67112231
2017,2.6648016
2018,2.67001772
2019,2.67169356
2020,2.67190933
2021,2.67203951
2022,2.67212176
2023,2.67215848
2024,2.67217588
2025,2.67218518
