Date,FertilityRate
1960,1.83286762
1961,-1.01552784
1962,0.82045549
1963,2.45764732
1964,2.320683
1965,2.38136816
1966,2.78733182
1967,2.57069755
1968,2.61090255
1969,2.74000216
1970,2.7616756
1971,2.74691558
1972,2.45735693
1973,2.28339529
1974,2.06595492
1975,1.76639175
1976,1.54733801
1977,1.3627795
1978,1.33818233
1979,1.33392799
1980,1.25422108
1981,1.28095233
1982,1.47267473
1983,1.44494975
1984,1.31206882
1985,1.3616991
1986,1.48739898
1987,1.60360503
1988,1.61007106
1989,1.53316998
1990,1.46730316
1991,1.364434
1992,1.22553623
1993,1.14961946
1994,1.13026059
1995,1.08650911
1996,1.04814148
1997,1.02345002
1998,0.95955038
1999,0.8658514
2000,0.7879566
2001,0.72638065
2002,0.66999954
2003,0.62286091
2004,0.59393281
2005,0.58812499
2006,0.55837435
2007,0.52227187
2008,0.51238692
2009,0.49738139
2010,0.48295969
2011,0.47915044
2012,0.48723111
2013,0.49370962
2014,0.5063116
2015,0.50813675
2020,0.25080367
2025,0.04562588
2015,0.50813675
2016,0.4882677979095589
2017,0.488515245664878
2018,0.5073249408088177
2019,0.5052182433131531
2020,0.4875976961211297
2021,0.4913484713168947
2022,0.5076781568745709
2023,0.5024973950701368
2024,0.48753367978978074
2025,0.4939340097806381
2015,0.50813675
2016,0.45516437
2017,0.44648403
2018,0.45216835
2019,0.4796043
2020,0.54597133
2021,0.6853596
2022,0.94615507
2023,1.2757715
2024,1.47144544
2025,1.53322911
