"","x"
"1",6.451
"2",6.405
"3",6.322
"4",6.201
"5",6.044
"6",5.853
"7",5.63
"8",5.383
"9",5.123
"10",4.861
"11",4.611
"12",4.385
"13",4.188
"14",4.026
"15",3.898
"16",3.805
"17",3.741
"18",3.695
"19",3.657
"20",3.622
"21",3.588
"22",3.552
"23",3.517
"24",3.482
"25",3.448
"26",3.411
"27",3.371
"28",3.328
"29",3.281
"30",3.229
"31",3.172
"32",3.11
"33",3.044
"34",2.973
"35",2.899
"36",2.821
"37",2.737
"38",2.649
"39",2.557
"40",2.463
"41",2.373
"42",2.29
"43",2.216
"44",2.155
"45",2.105
"46",2.065
"47",2.034
"48",2.006
"49",1.979
"50",1.951
"51",1.922
"52",1.893
"53",1.866
"54",1.841
"55",1.819
"56",1.8
