Date,FertilityRate
1960,6.451
1961,6.405
1962,6.322
1963,6.201
1964,6.044
1965,5.853
1966,5.63
1967,5.383
1968,5.123
1969,4.861
1970,4.611
1971,4.385
1972,4.188
1973,4.026
1974,3.898
1975,3.805
1976,3.741
1977,3.695
1978,3.657
1979,3.622
1980,3.588
1981,3.552
1982,3.517
1983,3.482
1984,3.448
1985,3.411
1986,3.371
1987,3.328
1988,3.281
1989,3.229
1990,3.172
1991,3.11
1992,3.044
1993,2.973
1994,2.899
1995,2.821
1996,2.737
1997,2.649
1998,2.557
1999,2.463
2000,2.373
2001,2.29
2002,2.216
2003,2.155
2004,2.105
2005,2.065
2006,2.034
2007,2.006
2008,1.979
2009,1.951
2010,1.922
2011,1.893
2012,1.866
2013,1.841
2014,1.819
2015,1.8
2020, 5
2025, 5
