Date,FertilityRate
1960,1.310342
1961,1.348696
1962,1.718509
1963,2.072689
1964,2.048585
1965,2.048681
1966,2.102674
1967,2.049419
1968,2.031543
1969,2.109374
1970,2.088505
1971,2.101422
1972,2.039409
1973,1.977967
1974,1.955967
1975,1.874943
1976,1.792383
1977,1.754722
1978,1.752885
1979,1.766047
1980,1.751663
1981,1.759342
1982,1.794792
1983,1.777593
1984,1.741074
1985,1.745489
1986,1.770672
1987,1.784943
1988,1.77211
1989,1.743725
1990,1.735508
1991,1.649835
1992,1.564813
1993,1.556673
1994,1.511709
1995,1.509677
1996,1.450342
1997,1.429932
1998,1.392915
1999,1.356834
2000,1.32506
2001,1.300455
2002,1.277685
2003,1.265531
2004,1.259977
2005,1.25341
2006,1.249044
2007,1.242749
2008,1.247266
2009,1.234063
2010,1.218629
2011,1.185846
2012,1.205745
2013,1.204095
2014,1.19905
2015,1.186331
2020, 5
2025,5
2015,1.186331
2016,3
2017,3
2018,3
2019,3
2020,3
2021,3
2022,3
2023,3
2024,3
2025,3
